date,MST_method1_degree_weighted,MST_method1_market_cap_same_X,MST_method2_degree_weighted,MST_method2_market_cap_same_X,MST_method3_degree_weighted,MST_method3_market_cap_same_X,MST_method4_degree_weighted,MST_method4_market_cap_same_X,Top_market_cap_weighted
2023-12-04,166673.1571688356,167812.34505713635,171675.51430409637,176805.2750159668,180765.75036049658,158436.2027011616,170875.41090123748,178436.15674490816,124879.7566881235
2023-12-05,166842.8995322708,168239.0466115587,172505.30529472488,178070.51703007583,181799.52333662886,159623.16613748015,171592.24896200595,179629.591923461,125552.96100576871
2023-12-06,167978.34857721362,168547.2100441507,173658.8338249157,178483.2061646748,182679.8265505482,159985.19549798654,173320.4512079351,180158.416148716,125828.85537685995
2023-12-07,167721.27117167632,167896.2305367326,172951.40668920934,177860.53926660112,182085.41585430142,159485.4121323909,173151.01810529904,179608.54190365423,125170.90214334028
2023-12-08,169040.25208082722,169298.52542239224,174724.93029175777,179543.2649962511,183869.7686994539,161015.7003878663,174727.01908463426,181227.0142957047,126319.02208849273
2023-12-11,169015.69923802195,168893.45862421827,175238.7086486608,179605.65464146368,184409.04220813973,161220.80588829628,175117.98419943757,181214.9220851803,126104.06262281576
2023-12-12,169315.07164964496,168706.89043312994,175478.9181822767,179394.98217206882,184034.85977981018,160892.34913060904,175047.79177975314,180958.8406193185,125645.47170019783
2023-12-13,169120.72543218947,168845.8185122858,175499.19383135843,179302.23116631154,183477.2634050977,160586.2996698386,174649.07791054196,180711.42734025553,125592.5763370242
2023-12-14,170137.94188419345,169465.16724870782,176466.18608938242,179196.3101543008,183284.03686013393,160503.1963604292,175654.59321537672,180580.67182834414,124846.85965189362
2023-12-15,170342.57304208787,169210.16079867035,176686.1650331552,178559.00166436145,183282.78357498423,160097.73612239724,175546.2927862902,180040.77437386566,124306.37922849672
2023-12-18,169717.58763720217,169202.22216311021,175038.4993685631,177304.9743608336,182023.14364377642,159100.62056523093,174380.3368002158,178940.43687822658,123974.6477615175
2023-12-19,170415.88188239385,170001.85154840784,176262.93198758148,178294.70134138796,182842.32064285717,159852.95183780405,175273.1205931629,179816.62638864873,124620.94396474106
2023-12-20,170717.0006975371,170257.09972706836,176384.332697113,178169.04585179262,182877.43104255415,159784.60287479224,175568.60059301773,179775.7073449008,124590.41390179415
2023-12-21,170519.7094111169,170059.0217400061,175698.97777501584,177263.9080323645,182029.99093427008,158984.9494287457,174930.03437250396,178888.28313955595,124060.52318614302
2023-12-22,171190.9676113212,170980.39319177406,175953.51229888582,177775.66301792694,182673.04506225,159540.4987970593,175446.59491238324,179509.56218276417,124478.50662599062
2023-12-27,171417.4430855266,171499.36788238282,176390.35400425948,178259.28753333102,183121.8740007995,159999.74278342075,175871.87082277596,180004.5353512865,124709.67169132519
2023-12-28,170791.69380186088,170757.1334374231,175714.3021487903,177610.65726298638,182377.01263386937,159409.13450990047,175180.84982617534,179331.61408883604,124265.26873949713
2023-12-29,170984.90441557846,170971.71793678263,175756.02821522835,177846.1449043851,182641.46005075064,159650.92318664616,175381.90633618584,179589.54623788604,124438.08428583104
2024-01-02,167730.34746536007,167848.1254871141,170839.9512158949,173127.68172182454,176830.40918003404,154490.4597324156,169332.52542580245,170729.95377606116,125139.15238328044
2024-01-03,165163.79416567355,165150.2723407497,168724.3799263315,171339.36247860006,174604.3238677044,153070.36952471346,166788.789117765,167791.12987921436,123482.76673487622
2024-01-04,167017.41550351973,167030.52225811488,170726.61058328528,173929.9639084221,176785.58393574177,155554.44621271166,168598.43241639552,169529.70126277793,124404.09023469363
2024-01-05,167286.16941391217,167312.98410490179,171030.7805341207,174085.05181400332,177166.71482358643,156180.70294237832,168918.9090598875,170204.76386633856,124499.66807013127
2024-01-08,168674.9192487767,168296.03739512723,172618.528862637,175035.88638312236,178960.24412609026,157271.36075947824,170588.00466690192,171422.720559757,124704.36568890372
2024-01-09,168555.91433690302,167593.7520686152,172614.968051836,174424.23910852257,179203.45492854458,156753.48987211302,170681.81326464468,170593.59324555492,123909.81793848667
2024-01-10,168686.12358420008,168213.1764150189,173017.73347702585,174732.58772667032,179411.34714676047,156626.7391950656,170668.00537746504,171119.46014101,124278.99378107482
2024-01-11,167014.33465063394,166797.46941147847,170971.99258514226,173186.46504914033,177278.31291025618,155306.73407809672,168922.74473536934,169646.43641099698,123533.84757130455
